date,scope_vols,scope_acces_ind,scope_acces_coll,scope_employes,scope_1_2,total_scopes,total_mvts
2026-01-31,785.4306386,74.65023996,10.5774255,12.05479452,0.986068,883.6991666,70
2026-01-30,794.6215272,93.14880557,13.198545,12.05479452,1.229984,914.2536563,88
2026-01-29,744.6475081,69.38055401,9.83074725,12.05479452,0.917575,836.8311789,64
2026-01-28,449.5047413,41.27191796,5.847946875,12.05479452,0.540141,509.2195417,38
2026-01-27,375.9963915,34.165495,4.841015625,12.05479452,0.458065,427.5157616,32
2026-01-26,852.1811256,89.69399071,12.7090215,12.05479452,1.186056,967.8249884,86
2026-01-25,913.869793,100.9330719,14.301522,12.05479452,1.333446,1042.492627,94
2026-01-24,771.0080222,74.74863658,10.59136763,12.05479452,0.9873685,869.3901894,70
2026-01-23,794.6215272,93.14880557,13.198545,12.05479452,1.229984,914.2536563,88
2026-01-22,744.6475081,69.33682217,9.82455075,12.05479452,0.917575,836.7812506,64
2026-01-21,449.2372362,41.27191796,5.847946875,12.05479452,0.53949075,508.9513863,38
2026-01-20,381.9055763,34.02883302,4.821651563,12.05479452,0.456909,433.2677644,32
2026-01-19,836.0841615,87.29967282,12.36976313,12.05479452,1.1526765,948.9610684,84
2026-01-18,891.8756164,96.78948072,13.71440363,12.05479452,1.2792585,1015.713554,90
2026-01-17,764.6787711,72.48551419,10.27069875,12.05479452,0.957457,860.4472356,68
2026-01-16,839.0513934,95.0839392,13.47274013,12.05479452,1.2561385,960.9190057,90
2026-01-15,748.5782504,69.28215738,9.816805125,12.05479452,0.9162745,840.6482819,64
2026-01-14,449.5047413,41.22818613,5.841750375,12.05479452,0.540141,509.1696133,38
2026-01-13,450.3096987,37.71870648,5.34448125,12.05479452,0.5050275,505.9327085,36
2026-01-12,838.0909987,87.89005258,12.45341588,12.05479452,1.1610575,951.6503192,84
2026-01-11,905.4775813,98.34196081,13.93437938,12.05479452,1.2991995,1031.107915,92
2026-01-10,779.0410341,75.33901633,10.67502038,12.05479452,0.9951715,878.1050368,70
2026-01-09,835.5297801,95.98590827,13.60054294,12.05479452,1.26805975,958.4390856,91
2026-01-08,788.6512579,73.38201678,10.397727,12.05479452,0.970462,885.4562582,68
2026-01-07,549.3581009,48.53140234,6.876565875,12.05479452,0.645626,617.4664897,46
2026-01-06,686.2871008,57.73695331,8.180929125,12.05479452,0.76072025,765.020498,54
2026-01-05,987.7232499,102.769809,14.561775,12.05479452,1.35764975,1118.467278,98
2026-01-04,1079.850227,119.0435175,16.86764756,12.05479452,1.571582,1229.387769,112
2026-01-03,993.3607886,98.89407521,14.01261019,12.05479452,1.308303,1119.630571,93
2026-01-02,1026.756142,111.6091058,15.81424256,12.05479452,1.4697095,1167.703994,106
2026-01-01,1105.327309,103.7920406,14.70661819,12.05479452,1.3789635,1237.259726,98
